Categoria;Facultad;Sexo;ResearchG;SEDICI;Memoria;Naturalis
IV;FCNYM;M;SI;SI;NO;SI
IV;FCNYM;F;SI;SI;NO;SI
V;FCNYM;F;SI;SI;NO;SI
II;FCNYM;F;SI;SI;NO;SI
V;FCNYM;F;SI;NO;NO;SI
III;FCNYM;F;SI;SI;NO;SI
IV;FCNYM;F;SI;SI;NO;SI
IV;FCNYM;F;SI;NO;NO;SI
I;FCNYM;M;SI;SI;NO;SI
III;FCNYM;F;SI;SI;NO;SI
III;FCNYM;F;SI;SI;NO;SI
I;FCNYM;F;SI;SI;NO;SI
II;FCNYM;F;NO;SI;NO;SI
II;FCNYM;F;SI;SI;NO;SI
V;FCNYM;F;SI;SI;NO;NO
III;FCNYM;F;NO;NO;NO;SI
IV;FCNYM;M;NO;SI;NO;SI
I;FCNYM;M;SI;SI;NO;SI
II;FCNYM;M;SI;SI;NO;SI
IV;FCNYM;F;SI;SI;NO;SI
V;FCNYM;F;SI;SI;NO;SI
III;FCNYM;F;NO;SI;NO;SI
III;FCNYM;M;SI;SI;NO;SI
V;FCNYM;F;SI;SI;NO;SI
IV;FCNYM;F;SI;SI;NO;SI
III;FCNYM;M;NO;SI;NO;SI
I;FCNYM;M;SI;SI;NO;SI
III;FCNYM;M;SI;SI;NO;SI
I;FCNYM;F;SI;SI;NO;SI
IV;FCNYM;F;NO;SI;NO;SI
III;FCNYM;M;SI;SI;NO;SI
IV;FCNYM;M;NO;NO;NO;SI
I;FCNYM;F;SI;SI;NO;SI
II;FCNYM;F;NO;SI;NO;SI
II;FCNYM;NA;NO;SI;NO;SI
IV;FCNYM;M;SI;NO;NO;SI
II;FCNYM;F;SI;SI;NO;SI
III;FCNYM;F;NO;SI;NO;SI
IV;FCNYM;F;SI;SI;NO;SI
II;FCNYM;F;SI;SI;NO;SI
I;FCNYM;M;NO;SI;NO;SI
III;FCNYM;F;NO;SI;NO;SI
IV;FCNYM;F;SI;SI;NO;SI
III;FCNYM;M;SI;SI;NO;SI
II;FCNYM;F;NO;NO;NO;SI
I;FCNYM;F;NO;SI;NO;SI
IV;FCNYM; M;NO;NO;NO;SI
IV;FCNYM;F;NO;SI;NO;SI
III;FCNYM;F;NO;SI;NO;SI
II;FCNYM;F;SI;SI;NO;NO
V;FCNYM;M;SI;SI;NO;SI
I;FCNYM;F;NO;SI;NO;SI
I;FCNYM;F;SI;SI;NO;SI
I;FCNYM;F;NO;SI;NO;SI
III;FCNYM;M;SI;SI;NO;SI
I;FCNYM;M;NO;NO;NO;SI
I;FCNYM;M;SI;SI;NO;SI
I;FCNYM;F;SI;SI;SI;SI
III;FCNYM;F;NO;SI;NO;SI
IV;FCNYM;M;NO;NO;NO;SI
II;FCNYM;F;SI;SI;NO;SI
I;FCNYM;F;SI;SI;NO;SI
II;FCNYM;M;NO;NO;NO;SI
V;FCNYM;F;NO;SI;NO;SI
I;FCNYM;M;NO;SI;NO;SI
II;FCNYM;F;SI;SI;NO;SI
III;FCNYM;M;NO;SI;NO;SI
V;FCNYM;F;SI;SI;NO;SI
V;FCNYM;M;SI;SI;NO;SI
III;FCNYM;M;SI;SI;NO;SI
V;FCNYM;F;SI;NO;NO;SI
V;FCNYM;F;NO;SI;NO;SI
III;FCNYM;F;NO;SI;NO;SI
III;FCNYM;M;SI;SI;NO;SI
IV;FCNYM;F;SI;SI;NO;SI
III;FCNYM;M;SI;SI;SI;SI
III;FCNYM;F;NO;SI;NO;SI
V;FCNYM;M;SI;SI;NO;SI
II;FCNYM;M;NO;SI;NO;SI
IV;FCNYM;F;SI;NO;NO;SI
I;FCNYM;M;NO;SI;NO;SI
I;FCNYM;M;NO;SI;NO;SI
III;FCNYM;F;NO;NO;NO;SI
V;FCNYM;M;NO;SI;NO;SI
II;FCNYM;F;NO;SI;NO;SI
I;FCNYM;M;SI;SI;NO;SI
II;FCNYM;M;SI;SI;NO;SI
III;FCNYM;M;SI;SI;NO;SI
II;FCNYM;M;NO;SI;NO;SI
IV;FCNYM;M;SI;NO;NO;NO
III;FCNYM;F;SI;NO;NO;SI
IV;FCNYM;M;NO;NO;NO;SI
I;FCNYM;M;NO;SI;NO;SI
III;FCNYM;F;NO;NO;NO;SI
III;FCNYM;M;SI;SI;NO;SI
IV;FCNYM;M;SI;SI;NO;SI
IV;FCNYM;M;SI;SI;NO;SI
III;FCNYM;M;NO;NO;NO;SI
II;FCNYM;M;SI;SI;NO;SI
V;FCNYM;M;NO;SI;NO;NO
II;FCNYM;F;SI;SI;NO;SI
III;FCNYM;M;NO;SI;NO;SI
I;FCNYM;F;SI;SI;NO;SI
III;FCNYM;F;NO;SI;NO;SI
IV;FCNYM;F;SI;SI;NO;SI
V;FCNYM;F;NO;SI;NO;SI
I;FCNYM;F;SI;SI;NO;SI
II;FCNYM;F;NO;SI;NO;SI
III;FCNYM;F;SI;SI;NO;SI
II;FCNYM;F;NO;SI;NO;SI
III;FCNYM;F;SI;SI;NO;SI
I;FCNYM;M;SI;SI;SI;SI
II;FCNYM;M;SI;SI;NO;SI
III;FCNYM;F;NO;SI;NO;SI
III;FCNYM;M;SI;SI;NO;SI
I;FCNYM;M;NO;SI;NO;SI
IV;FCNYM;M;SI;SI;NO;SI
I;FCNYM;M;NO;SI;NO;SI
II;FCNYM;M;NO;SI;NO;SI
IV;FCNYM;F;SI;SI;NO;SI
V;FCNYM;F;SI;SI;NO;SI
IV;FCNYM;M;SI;SI;NO;SI
I;FCNYM;F;SI;SI;NO;SI
I;FCNYM;M;NO;SI;NO;SI
IV;FCNYM;F;SI;SI;NO;SI
I;FCNYM;M;NO;SI;SI;SI
III;FCNYM;F;SI;SI;NO;SI
I;FCNYM;F;SI;SI;NO;SI
II;FCNYM;F;SI;SI;NO;SI
I;FCNYM;M;SI;SI;NO;SI
III;FCNYM;F;NO;SI;NO;SI
I;FCNYM;M;SI;SI;NO;SI
IV;FCNYM;F;SI;SI;NO;SI
III;FCNYM;F;SI;SI;NO;SI
I;FCNYM;M;NO;SI;NO;SI
III;FCNYM;M;SI;SI;NO;SI
I;FCNYM;F;SI;SI;NO;SI
I;FCNYM;F;SI;SI;NO;SI
III;FCNYM;F;SI;SI;NO;SI
IV;FCNYM;M;NO;SI;NO;SI
III;FCNYM;F;NO;SI;NO;SI
I;FCNYM;F;NO;SI;SI;SI
I;FCNYM;M;SI;SI;NO;SI
III;FCNYM;F;SI;SI;NO;SI
V;FCNYM;F;NO;NO;NO;SI
III;FCNYM;F;NO;SI;NO;SI
I;FCNYM;F;SI;SI;NO;SI
III;FCNYM;M;NO;SI;NO;SI
V;FCNYM;F;SI;SI;NO;SI
III;FCNYM;M;NO;SI;NO;SI
III;FCNYM;F;SI;SI;NO;SI
III;FCNYM;M;NO;SI;NO;SI
IV;FCNYM;F;SI;SI;NO;SI
I;FCNYM;M;SI;SI;NO;SI
III;FCNYM;F;NO;SI;NO;SI
I;FCNYM;M;SI;SI;NO;SI
II;FCNYM;F;NO;NO;NO;SI
IV;FCNYM;F;SI;SI;NO;SI
II;FCNYM;F;NO;SI;NO;SI
III;FCNYM;F;SI;SI;NO;SI
I;FCNYM;F;SI;SI;NO;SI
IV;FCNYM;F;NO;SI;NO;SI
II;FCNYM;F;NO;SI;NO;SI
IV;FCNYM;F;NO;SI;NO;SI
III;FCNYM;F;NO;SI;NO;SI
III;FCNYM;M;NO;SI;NO;SI
I;FCNYM;F;SI;SI;NO;SI
IV;FCNYM;F;NO;SI;NO;SI
III;FCNYM;M;SI;SI;NO;SI
IV;FCNYM;F;SI;SI;NO;SI
IV;FCNYM;F;NO;NO;NO;SI
IV;FCNYM;M;NO;SI;NO;SI
IV;FCNYM;M;SI;SI;NO;SI
V;FCNYM;M;NO;SI;NO;SI
II;FCNYM;M;SI;SI;NO;SI
I;FCNYM;F;SI;SI;NO;SI
III;FCNYM;F;SI;SI;NO;SI
IV;FCNYM;F;SI;SI;NO;SI
II;FCNYM;M;SI;SI;NO;SI
IV;FCNYM;M;NO;SI;NO;SI
I;FCNYM;F;SI;SI;NO;SI
III;FCNYM;F;NO;SI;NO;SI
V;FCNYM;M;SI;SI;NO;SI
III;FCNYM;F;NO;NO;NO;SI
II;FCNYM;F;NO;SI;NO;SI
IV;FCNYM;M;SI;SI;NO;SI
II;FCNYM;F;NO;SI;NO;SI
III;FCNYM;F;NO;SI;NO;SI
III;FCNYM;M;NO;SI;NO;SI
I;FCNYM;F;SI;SI;NO;SI
III;FCNYM;F;SI;SI;NO;SI
II;FCNYM;M;NO;SI;NO;SI
III;FCNYM;M;NO;SI;NO;SI
I;FCNYM;M;NO;SI;NO;SI
IV;FCNYM;F;SI;SI;NO;SI
IV;FCNYM;M;SI;SI;NO;SI
I;FCNYM;M;SI;SI;NO;SI
III;FCNYM;M;NO;NO;NO;SI
III;FCNYM;M;NO;NO;NO;SI
III;FCNYM;F;SI;SI;NO;SI
I;FCNYM;M;SI;SI;NO;SI
V;FCNYM;M;SI;SI;NO;SI
IV;FCNYM;F;SI;SI;NO;SI
IV;FCNYM;F;SI;NO;NO;SI
I;FCNYM;M;SI;SI;NO;SI
IV;FCNYM;F;NO;SI;NO;SI
II;FCNYM;M;SI;SI;NO;SI
V;FCNYM;M;SI;SI;NO;SI
I;FCNYM;F;SI;SI;NO;SI
II;FCNYM;F;SI;SI;NO;SI
III;FCNYM;F;SI;SI;NO;SI
I;FCNYM;F;SI;SI;NO;SI
I;FCNYM;F;NO;SI;NO;SI
I;FCNYM;F;SI;SI;NO;SI
II;FCNYM;F;SI;SI;NO;SI
II;FCNYM;F;NO;SI;NO;SI
III;FCNYM;M;SI;SI;NO;SI
IV;FCNYM;F;SI;SI;NO;SI
V;FCNYM;M;SI;SI;SI;SI
IV;FCNYM;M;SI;SI;NO;SI
IV;FCNYM;F;SI;SI;NO;SI
III;FCNYM;M;SI;SI;NO;SI
IV;FCNYM;M;SI;SI;NO;SI
III;FCNYM;F;SI;SI;NO;SI
III;FCNYM;F;SI;SI;NO;SI
I;FCNYM;M;SI;SI;NO;SI
IV;FCNYM;M;SI;SI;NO;SI
I;FCNYM;M;NO;SI;NO;SI
II;FCNYM;F;NO;SI;NO;SI
III;FCNYM;F;SI;SI;NO;SI
I;FCNYM;F;NO;SI;NO;SI
V;FCNYM;M;NO;SI;SI;SI
III;FCNYM;M;NO;SI;NO;SI
IV;FCNYM;F;SI;SI;NO;SI
V;FCNYM;M;SI;SI;NO;SI
I;FCNYM;M;SI;SI;NO;SI
III;FCNYM;M;SI;SI;NO;SI
V;FCNYM;M;SI;SI;NO;SI
III;FCNYM;M;SI;SI;NO;SI
V;FCNYM;F;NO;SI;NO;SI
III;FCNYM;F;NO;SI;NO;SI
I;FCNYM;M;SI;SI;NO;SI
III;FCNYM;M;SI;SI;NO;SI
IV;FCNYM;M;SI;SI;NO;SI
III;FCNYM;F;SI;SI;NO;SI
III;FCNYM;F;SI;SI;NO;SI
V;FCNYM;F;SI;SI;NO;SI
III;FCNYM;F;SI;SI;NO;SI
V;FCNYM;M;NO;NO;NO;SI
I;FCE;F;SI;SI;NO;NO
IV;FCE;M;NO;SI;NO;NO
I;FCE;M;NO;SI;NO;NO
IV;FCE;M;SI;SI;NO;NO
III;FCE;F;SI;SI;NO;NO
I;FCE;M;NO;NO;NO;NO
I;FCE;F;SI;SI;NO;NO
III;FCE;F;SI;SI;NO;NO
III;FCE;M;NO;SI;NO;NO
III;FCE;M;NO;SI;NO;NO
III;FCE;F;NO;SI;NO;NO
II;FCE;M;SI;SI;NO;NO
I;FCE;F;NO;SI;NO;NO
IV;FCE;M;SI;SI;NO;NO
IV;FCE;F;SI;SI;NO;NO
IV;FCE;F;SI;SI;NO;NO
IV;FCE;F;SI;SI;NO;NO
III;FCE;F;SI;SI;NO;NO
III;FCE;F;SI;SI;NO;NO
I;FCE;F;NO;SI;NO;NO
III;FCE;M;NO;SI;NO;NO
V;FCE;M;NO;SI;NO;NO
III;FCE;M;NO;NO;NO;NO
IV;FCE;F;SI;SI;NO;NO
IV;FCE;F;SI;SI;NO;NO
II;FCE;F;SI;SI;NO;NO
III;FCE;M;NO;NO;NO;NO
I;FCE;F;NO;SI;NO;NO
V;FCE;F;NO;SI;NO;NO
I;FCE;M;SI;SI;NO;NO
V;FCE;M;SI;NO;NO;NO
III;FCE;M;NO;SI;NO;NO
II;FCE;F;SI;SI;NO;NO
V;FCE;F;SI;SI;NO;NO
I;FCE;M;SI;NO;NO;NO
II;FCE;F;SI;SI;NO;NO
III;FCE;F;SI;SI;NO;NO
I;FCE;M;SI;SI;NO;NO
I;FCE;M;SI;SI;NO;NO
II;FCE;F;NO;SI;NO;NO
I;FCE;F;NO;SI;NO;NO
I;FCE;F;SI;SI;NO;NO
III;FCE;F;SI;NO;NO;NO
III;FCE;F;NO;SI;NO;NO
III;FCE;M;SI;SI;NO;NO
I;FCE;M;NO;SI;NO;NO
III;FCE;M;NO;SI;NO;NO
V;FCE;M;NO;SI;NO;NO
III;FCE;F;SI;SI;NO;NO
IV;FCE;M;SI;SI;NO;NO
I;FCE;F;NO;SI;NO;NO
II;FCE;F;SI;NO;NO;NO
IV;FCE;M;SI;SI;NO;NO
IV;FCE;M;SI;SI;NO;NO
I;FCE;M;SI;SI;NO;NO
III;FCE;F;NO;NO;NO;NO
II;FCE;M;SI;SI;NO;NO
III;FCE;F;SI;NO;NO;NO
I;FCE;F;NO;SI;NO;NO
II;FCE;M;SI;SI;NO;NO
I;FCE;M;SI;SI;NO;NO
I;FCE;M;SI;SI;NO;NO
III;FCE;M;SI;NO;NO;NO
III;FCE;F;SI;SI;NO;NO
II;FCE;F;SI;SI;NO;NO
V;FCE;M;NO;NO;NO;NO
IV;FCE;F;SI;SI;NO;NO
V;FCE;F;SI;SI;NO;NO
I;FCE;F;SI;SI;NO;NO
II;FCE;F;SI;SI;NO;NO
I;FCE;F;SI;SI;NO;NO
I;FCE;F;SI;NO;NO;NO
V;FCE;F;SI;SI;NO;NO
II;FCE;F;SI;SI;NO;NO
IV;FCE;F;NO;SI;NO;NO
IV;FCE;M;NO;SI;NO;NO
III;FCE;M;SI;SI;NO;NO
II;FCE;M;NO;NO;NO;NO
III;FCE;M;SI;SI;NO;NO
III;FCE;F;SI;SI;NO;NO
I;FCE;M;SI;NO;NO;NO
V;FCE;F;SI;SI;NO;NO
IV;FCE;F;SI;NO;NO;NO
IV;FCE;F;SI;NO;NO;NO
III;FCE;M;SI;SI;NO;NO
I;FCE;M;SI;SI;NO;NO
I;FCE;F;NO;SI;NO;NO
V;FCE;F;SI;SI;NO;NO
III;FCE;M;SI;SI;NO;NO
II;FCE;M;NO;SI;NO;NO
III;FCE;F;NO;SI;NO;NO
I;FCE;F;NO;NO;NO;NO
II;FCE;M;SI;NO;NO;NO
I;FCE;M;SI;SI;NO;NO
IV;FCE;M;NO;SI;NO;NO
V;FCE;F;NO;SI;NO;NO
III;FCE;F;SI;SI;NO;NO
I;FCE;M;SI;NO;NO;NO
IV;FCE;F;SI;SI;NO;NO
